92,18:30:02
92,18:30:05
93,18:30:06
92,18:30:07
92,18:30:10
91,18:30:12
92,18:30:15
92,18:30:18
92,18:30:21
91,18:30:22
89,18:30:23
88,18:30:24
89,18:30:25
90,18:30:26
89,18:30:28
88,18:30:29
89,18:30:31
89,18:30:34
90,18:30:36
89,18:30:38
88,18:30:40
89,18:30:42
91,18:30:44
93,18:30:45
95,18:30:46
95,18:30:49
94,18:30:50
93,18:30:52
92,18:30:53
93,18:30:55
94,18:30:56
95,18:30:58
94,18:31:01
93,18:31:02
94,18:31:04
95,18:31:06
95,18:31:09
93,18:31:10
91,18:31:11
90,18:31:12
91,18:31:13
90,18:31:15
90,18:31:18
89,18:31:20
90,18:31:23
91,18:31:24
91,18:31:25
91,18:31:28
91,18:31:31
92,18:31:34
93,18:31:35
94,18:31:36
93,18:31:37
90,18:31:38
89,18:31:39
89,18:31:42
88,18:31:43
88,18:31:44
89,18:31:45
91,18:31:46
94,18:31:47
94,18:31:48
93,18:31:49
92,18:31:50
91,18:31:51
90,18:31:52
90,18:31:53
91,18:31:56
91,18:31:59
90,18:32:01
90,18:32:04
91,18:32:05
90,18:32:06
89,18:32:08
89,18:32:11
89,18:32:14
89,18:32:17
89,18:32:20
89,18:32:23
88,18:32:24
90,18:32:26
92,18:32:27
92,18:32:30
91,18:32:33
90,18:32:34
89,18:32:35
90,18:32:36
91,18:32:37
90,18:32:39
91,18:32:41
91,18:32:44
92,18:32:45
94,18:32:46
95,18:32:47
94,18:32:49
93,18:32:50
94,18:32:51
95,18:32:52
96,18:32:53
97,18:32:54
98,18:32:57
98,18:33:00
99,18:33:02
99,18:33:04
99,18:33:07
100,18:33:08
101,18:33:11
100,18:33:12
100,18:33:15
99,18:33:21
97,18:33:26
96,18:33:31
94,18:33:36
92,18:33:41
94,18:33:46
95,18:33:51
94,18:34:01
94,18:34:16
93,18:34:21
95,18:34:24
95,18:34:27
95,18:34:30
95,18:34:31
96,18:34:32
96,18:34:33
97,18:34:35
98,18:34:37
98,18:34:38
97,18:34:39
96,18:34:40
95,18:34:42
95,18:34:45
96,18:34:46
97,18:34:48
96,18:34:49
95,18:34:51
94,18:34:52
95,18:34:55
96,18:34:56
95,18:34:58
96,18:34:59
